date,event_harbour,harbourmin1,event_WWTW,wwtwmin1,wwtwmin2,rainfall_warkworth,rainfall_rothbury,flow_morwick,flow_rothbury,Roth_rainfall_lag1,Roth_rainfall_lag2,Roth_rainfall_lag3,Roth_flow_lag1,Roth_flow_lag2,Roth_flow_lag3,Wark_rainfall_lag1,Wark_rainfall_lag2,Wark_rainfall_lag3,Mor_flow_lag1,Mor_flow_lag2,Mor_flow_lag3,Roth_rainfall_roll3,Roth_rainfall_roll7,Roth_flow_roll3,Roth_flow_roll7,Wark_rainfall_roll3,Wark_rainfall_roll7,Mor_flow_roll3,Mor_flow_roll7,Roth_rainfall_sum3,Roth_rainfall_sum7,Wark_rainfall_sum3,Wark_rainfall_sum7
29/11/2024,0,0,1,0,0,1.6,0.8,6.381,4.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/11/2024,0,0,0,1,0,0,0,6.097,5.201,0.8,NA,NA,4.976,NA,NA,1.6,NA,NA,6.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/12/2024,0,0,0,0,0,1.2,6,8.086,7.965,0,0.8,NA,5.201,4.976,NA,0,1.6,NA,6.097,6.381,NA,2.266666667,NA,6.047333333,NA,0.933333333,NA,6.854666667,NA,6.8,NA,2.8,NA
02/12/2024,0,0,1,0,0,8.8,8,16.279,9.667,6,0,0.8,7.965,5.201,4.976,1.2,0,1.6,8.086,6.097,6.381,4.666666667,NA,7.611,NA,3.333333333,NA,10.154,NA,14,NA,10,NA
03/12/2024,0,0,1,1,0,2.2,1,12.215,7.227,8,6,0,9.667,7.965,5.201,8.8,1.2,0,16.279,8.086,6.097,5,NA,8.286333333,NA,4.066666667,NA,12.19333333,NA,15,NA,12.2,NA
04/12/2024,0,0,0,1,0,1.4,2.8,9.994,7.48,1,8,6,7.227,9.667,7.965,2.2,8.8,1.2,12.215,16.279,8.086,3.933333333,NA,8.124666667,NA,4.133333333,NA,12.82933333,NA,11.8,NA,12.4,NA
05/12/2024,1,0,1,0,0,9.6,9.8,29.081,15.892,2.8,1,8,7.48,7.227,9.667,1.4,2.2,8.8,9.994,12.215,16.279,4.533333333,4.057142857,10.19966667,8.344,4.4,3.542857143,17.09666667,12.59042857,13.6,28.4,13.2,24.8
06/12/2024,1,1,1,1,0,9,10.6,27.928,16.873,9.8,2.8,1,15.892,7.48,7.227,9.6,1.4,2.2,29.081,9.994,12.215,7.733333333,5.457142857,13.415,10.04357143,6.666666667,4.6,22.33433333,15.66857143,23.2,38.2,20,32.2
07/12/2024,1,1,1,1,1,27.8,36.4,132.422,108.234,10.6,9.8,2.8,16.873,15.892,7.48,9,9.6,1.4,27.928,29.081,9.994,18.93333333,10.65714286,46.99966667,24.76257143,15.46666667,8.571428571,63.14366667,33.715,56.8,74.6,46.4,60
08/12/2024,1,1,1,1,1,4.4,8.4,107.632,58.539,36.4,10.6,9.8,108.234,16.873,15.892,27.8,9,9.6,132.422,27.928,29.081,18.46666667,11,61.21533333,31.98742857,13.73333333,9.028571429,89.32733333,47.93585714,55.4,77,41.2,63.2
